,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274893913.495361,4817580183.601554,5081413339.786349,5319458351.162353,5386054619.349873,5906636557.000919,6439687598.323245,7253575399.321495,7483685473.512747,8471006100.953987,8992721809.393324,8751842839.796577,6288245866.666667,8086725729.340702,12512460519.708761,19448348073.456512,10117113333.333334,9651149301.874596,13281767142.857143,15565480321.944809,18138049095.607235,20249694002.44798,18525399201.596806,17609048821.54882,18920840000.0,22278423076.923077,21774033333.333332,24298032258.064518,26579005760.348606,28781714763.801205,31598341233.559,30957483949.57983,31708874594.164455,33166519417.98942,33768660882.793015,37939748768.656715,46438484107.57946,48244309133.489456,49984559471.36564,51270569883.52746,53369787318.62453,53991289844.32913,54724081490.510185,60158929188.255615,65108544250.04247,69442943089.4309,71819083683.74033,79611888213.14798,91631278239.32372,102477791472.39049,115279077465.22643,128637938711.3856,133355749482.47754,149990451022.28983,172885454931.4531,195078678697.22955,221415188000.47534,249710922462.3092,274038973437.27548,302571320445.7498,323056957972.31177,
24,Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,19839230769.23077,19870000000.0,19342000000.0,16563666666.666668,17594944444.444447,17155421052.631578,20249294117.64706,28101000000.0,22555941176.47059,21988444444.444447,20632090909.090908,10943548387.096775,10350515463.917526,10829710144.927536,9697416974.169743,18983303571.428574,12294221472.737494,11315986087.163328,15030695296.523518,13627323284.540459,13245833843.545425,14183497963.107063,16402846413.095812,21144983551.682346,26157894736.842106,29869283400.038116,34379808888.60386,44405101469.55913,54438966419.863884,52023504656.287766,50682061053.20157,57678241023.817986,54300857424.44152,55810138436.482086,57082011260.3446,50781996712.76355,53953897624.43439,59199447421.49236,66363422450.21123,68915416141.95764,69889347433.43239,
25,Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,3072698328.46909,3467819148.93617,3645744680.8510637,3735106382.9787235,3905585106.382979,3651861702.12766,3052393617.0212765,3392021010.638298,3702393617.0212765,3863563829.787234,4229787234.042553,4616223404.25532,4751063829.787234,5200265957.446809,5567553457.446808,5849467819.148936,6101861436.170213,6349202393.617022,6183776595.74468,6621010372.3404255,9062898936.170212,8976196808.51064,9593510638.297873,11074813829.787233,13150159574.468084,15968723404.25532,18504760638.29787,21730000000.0,25710904255.31915,22938218085.106384,25713271276.595745,28776595744.68085,30749308510.638298,32539468085.106384,33387712765.957447,31050638297.87234,32234973404.255318,35473776595.74468,37801462765.95744,38652579787.23404,34729228723.40426,
26,"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169803921.56862745,190098039.21568626,212254901.96078432,237745098.03921568,266666666.66666666,300392156.8627451,340000000.0,390196078.4313725,444901960.78431374,528137254.9019608,538423153.6926148,573400000.0,590900000.0,670900000.0,632400000.0,596200000.0,642100000.0,713000000.0,832400000.0,1139800100.0,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10494600000.0,11142900000.0,11890600000.0,11992600000.0,12359700000.0,12837800000.0,13164400000.0,9907500000.0,
27,Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469.1358023,1866572953.7366548,2786045321.637427,3671816504.23851,4116699437.404103,4685733115.46841,5567405599.3120575,5800774717.405381,6728771313.868047,8498560902.291805,10157553968.152508,11222953335.338526,12864610862.590084,15778767410.810915,19112739397.88601,17613836526.63925,17176781045.596737,18644723853.580708,17221192466.19183,18172335776.330074,18560861388.640163,16219819017.360718,16914287348.981901,18079075770.671276,20177409351.43288,20201323260.073257,19946496562.973324,
28,Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21650000000.0,18000000000.0,17037037037.037037,16280991735.537191,14932024169.18429,13972676840.917984,14756846153.846155,14128408565.706362,15222012660.42317,12138486532.020298,12736856827.984661,12354820143.884892,14594249022.892239,17827791321.30668,23144351851.851852,30207567316.62024,36954312354.312355,45277399813.606705,60763483146.06741,50874078052.273544,57222490768.71434,61757788944.72362,65685102554.875854,75527984234.23424,78813839984.35056,56454734396.5842,47722657820.66747,54726595249.18491,60031262269.33648,64409647193.804375,60258239055.582886,
29,Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28071888.562228754,29964370.712585747,31856922.86154277,33749405.01189976,36193826.123477526,40069930.06993007,44405594.40559441,47379310.344827585,44910179.640718564,47305389.22155689,53233532.93413174,59207317.07317074,66062500.0,78343558.28220859,103216374.26900585,118066298.34254143,96905829.59641255,117650000.0,136300000.0,151800000.0,197938222.429283,196089854.656347,182206326.985709,192103185.9553215,214381949.0193805,212643742.66470551,231638320.53556648,281082558.5859,320093360.27245003,369133890.704745,412086445.4921765,444720750.0,518559700.0,560205300.0,581269550.0,620422500.0,641660000.0,654582900.0,689140000.0,732732350.0,832072450.0,868358750.0,925197950.0,983575600.0,1051386600.0,1102564900.0,1210603750.0,1271598050.0,1351338650.0,1317309450.0,1377177100.0,1460797903.23406,1522897506.07849,1579411253.005135,1667335060.96064,1721700991.46912,1789304087.785615,1858529676.71857,1915899786.96407,1982518540.6134,1636280797.08056,
30,Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,84466654.07691188,89249986.69728948,94149985.96694459,96366652.30321714,107566650.6338574,114339048.96516557,134173373.78565349,155102984.62733382,150000000.0,164900000.0,186300000.0,211100000.0,235400000.0,269500000.0,312600000.0,345000000.0,386300000.0,447000000.0,475800000.0,517200000.00000006,613299968.0,739100032.0,785500032.0,889400000.0,985699968.0,1039500031.9999999,1173500032.0,1296499968.0,1415100032.0,1501500032.0,1592400000.0,1634900000.0,1679900000.0,1820359900.0,1867160100.0,2030750000.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186524999.9999995,4484703000.0,4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7224329000.0,7484113000.0,6842700000.0,
31,Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,373879363.59538555,406684585.71929413,444665186.39710176,478805990.0833069,539491477.3201556,604377104.3771044,669191919.1919192,755808080.8080808,857912457.912458,929629629.6296296,1017003367.0033671,1095622895.6228957,1257615644.9793155,1262968515.7421288,2100249875.0624688,2404697651.1744127,2731984007.996002,3227436281.8590703,3758220889.5552225,4421343606.181353,4526916802.610114,5872756933.115824,5587490264.812702,5422440961.878859,6169501037.976217,5377277406.716375,3958338883.2233763,4323623622.162202,4597615562.66594,4715978868.216133,4867582620.207083,5343274311.567894,5643893347.006794,5734676560.924714,5981244886.917001,6715220507.051642,7396966657.470539,7925673448.413681,8497545598.083519,8285075872.273071,8397912509.096789,8141537937.61068,7905485216.178522,8082364868.393566,8773451738.911291,9549077869.106506,11451869164.71117,13120183156.714897,16674324634.237322,17339992165.242165,19649631314.048203,23963033430.59536,27084497482.86165,30659338880.378582,32996188012.682056,33000198248.336178,33941126200.06064,37508642165.33661,40287647930.47611,40895322843.785095,36572764862.82345,
32,Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,17030465539.390615,17275940449.383743,19231747851.533188,23287712878.20023,20963733694.974895,22465522884.098793,28283323733.11135,31086389194.96098,33930457425.261284,37171640818.58632,42327664793.69339,48869830901.78776,58434858374.8696,83592275862.9982,109794519727.53831,129203555238.82715,153168949208.2069,176344101401.94095,200278646123.5813,221338204480.22247,237393489892.63696,258015174748.64758,271314113768.41696,189656506321.4308,188339974086.58005,210879841322.30597,256480855343.61664,283056833878.2124,308333568571.49304,347028139590.2275,390725626002.86566,342609227209.64545,328187944300.9078,368295777770.07947,525369851353.7422,769333330368.9868,850426433004.077,883206452795.1244,863711007325.4927,599642075004.4706,655448188259.3507,559983704094.1699,509795270685.1901,558233724164.7108,669289321944.5156,891633826603.3773,1107626711406.6265,1397114247331.1743,1695855391810.8962,1666996294372.8713,2208838108577.0903,2616156606666.6235,2465228293894.0117,2472819362216.695,2456043766028.728,1802211999538.684,1795693265810.2322,2063514688761.976,1916933708381.8914,1877824273720.7822,1444733258971.6514,
