,SYMBOL,START_DATE,END_DATE,PERCENTAGE
115,^FCHI,2002-01-10,2002-01-11,35
116,^FCHI,2002-01-14,2002-03-04,35
117,^FCHI,2002-04-05,2002-04-16,35
118,^FCHI,2002-04-25,2005-09-20,35
119,^FCHI,2002-06-04,2005-06-10,40
120,^FCHI,2002-07-12,2002-08-22,50
121,^FCHI,2002-08-26,2002-08-27,50
122,^FCHI,2002-08-28,2003-12-04,50
123,^FCHI,2002-09-23,2002-09-26,60
124,^FCHI,2002-09-30,2002-10-02,60
125,^FCHI,2002-10-04,2002-10-11,60
126,^FCHI,2003-01-29,2003-01-30,60
127,^FCHI,2003-02-10,2003-02-11,60
128,^FCHI,2003-02-12,2003-02-17,60
129,^FCHI,2003-02-25,2003-03-21,60
130,^FCHI,2003-03-24,2003-04-07,60
131,^FCHI,2003-12-05,2003-12-15,50
132,^FCHI,2003-12-16,2003-12-19,50
133,^FCHI,2004-08-13,2004-08-17,50
134,^FCHI,2005-06-27,2005-06-29,40
135,^FCHI,2005-07-07,2005-07-08,40
136,^FCHI,2005-09-21,2005-09-27,35
137,^FCHI,2005-10-12,2005-11-14,35
138,^FCHI,2005-11-16,2005-11-17,35
139,^FCHI,2006-01-10,2006-01-11,30
140,^FCHI,2006-01-13,2006-01-27,30
141,^FCHI,2006-04-04,2006-04-21,25
142,^FCHI,2006-04-27,2006-05-05,25
143,^FCHI,2006-05-12,2006-09-27,25
144,^FCHI,2006-05-18,2006-05-19,30
145,^FCHI,2006-05-22,2006-05-26,30
146,^FCHI,2006-05-31,2006-06-01,30
147,^FCHI,2006-06-06,2006-06-30,30
148,^FCHI,2006-07-13,2006-07-25,30
149,^FCHI,2006-10-03,2006-10-04,25
150,^FCHI,2007-01-04,2007-01-12,20
151,^FCHI,2007-01-17,2007-01-22,20
152,^FCHI,2007-01-23,2007-01-24,20
153,^FCHI,2007-01-26,2007-01-29,20
154,^FCHI,2007-02-28,2007-03-22,20
155,^FCHI,2007-03-26,2007-03-27,20
156,^FCHI,2007-03-28,2007-03-29,20
157,^FCHI,2007-04-24,2007-04-26,15
158,^FCHI,2007-06-07,2007-06-11,15
159,^FCHI,2007-06-12,2007-06-14,15
160,^FCHI,2007-06-27,2007-06-28,15
161,^FCHI,2007-07-24,2019-11-15,15
162,^FCHI,2007-08-06,2007-08-07,20
163,^FCHI,2007-08-10,2007-08-27,20
164,^FCHI,2007-08-28,2007-08-31,20
165,^FCHI,2007-09-05,2007-09-19,20
166,^FCHI,2007-11-09,2007-11-14,20
167,^FCHI,2007-11-15,2007-11-30,20
168,^FCHI,2007-12-04,2007-12-05,20
169,^FCHI,2007-12-17,2007-12-21,20
170,^FCHI,2008-01-02,2018-05-17,20
171,^FCHI,2008-01-16,2015-04-10,25
172,^FCHI,2008-01-21,2008-01-29,30
173,^FCHI,2008-01-22,2008-01-23,35
174,^FCHI,2008-01-30,2008-02-01,30
175,^FCHI,2008-02-05,2008-02-25,30
176,^FCHI,2008-02-28,2008-04-07,30
177,^FCHI,2008-03-17,2008-03-19,35
178,^FCHI,2008-03-20,2008-03-25,35
179,^FCHI,2008-04-10,2008-04-18,30
180,^FCHI,2008-04-22,2008-04-25,30
181,^FCHI,2008-06-06,2015-02-25,30
182,^FCHI,2008-06-20,2014-05-28,35
183,^FCHI,2008-07-11,2008-07-18,40
184,^FCHI,2008-09-15,2008-09-22,40
185,^FCHI,2008-09-23,2013-09-19,40
186,^FCHI,2008-10-08,2008-10-14,50
187,^FCHI,2008-10-15,2008-11-04,50
188,^FCHI,2008-11-06,2008-11-10,50
189,^FCHI,2008-11-11,2009-08-10,50
190,^FCHI,2009-01-23,2009-01-26,60
